,search_string,8_digit_kvk,12_digit_kvk,vesting_nr,status_of_company,headquarters,website,main_company_name,bestaande_handelsnamen,statutaire_naam,second_page_company_name,street,housenumber,housenumber_extension,postcode,city,extra_infomation
4733,1000AS,57186073	,571860730000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Westlandgracht 47-55,No Value,No Value,Vereniging van Eigenaars Westlandgracht 47-55,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> VvE Westlandgracht 47-55. Vereniging van Eigenaars &quot;Westlandgracht  47-55&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
4734,1000AZ,34182334	,341823340000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Stichting Bewaarder Renderend Bezit I,No Value,No Value,Stichting Bewaarder Renderend Bezit I,Prins Bernhardplein,200,,1097JB,Amsterdam,"Overige administratiekantoren. Stichting Bewaarder Renderend Bezit I.  Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ. <b>...</b>  "
4735,1001AC,52931773	,529317730000	,000022825428	,No Value,True,No Value,Encomium B.V.,Encomium B.V.,Encomium B.V.,Encomium B.V.,Overhoeksplein,2,Lab 002,1031KS,Amsterdam,"<b>...</b> Encomium BV. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC.  Overhoeksplein 2 Lab 002, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4736,1001AC,60273089	,602730890000	,No Value	,No Value,True,www.verspers.nl/crowdpress.,Stichting Crowdpress,No Value,No Value,Stichting Crowdpress,Overhoeksplein,2,,1031KS,Amsterdam,"<b>...</b> Stichting Crowdpress. Stichting Crowdpress. www.verspers.nl/crowdpress.  Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC. <b>...</b>  "
4737,1000GP,41216622	,412166220000	,No Value	,No Value,True,No Value,Stichting Dag van de Architectuur BNA,No Value,No Value,Stichting Dag van de Architectuur BNA,Jollemanhof,14,,1019GW,Amsterdam,"<b>...</b> Stichting Dag van de Architectuur BNA. Stichting Dag van de Architectuur BNA.  Postbus 19606, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
4738,1000GP,52579247	,525792470000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars van het gebouw aan de Prins Hendrikkade 160 te Amsterdam,No Value,No Value,Vereniging van Eigenaars van het gebouw aan de Prins Hendrikkade 160 te Amsterdam,Prinsengracht,259,,1016GV,Amsterdam,"<b>...</b> Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. Prinsengracht  259, 1016GV, Amsterdam, Nederland 1016 GV. Belangenbehartiging. <b>...</b>  "
4739,1000AS,61651370	,616513700000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Leidekkerssteeg 1-17,No Value,No Value,Vereniging van Eigenaars Leidekkerssteeg 1-17,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> Amsterdam. Vereniging van Eigenaars &quot;Leidekkerssteeg 1-17&quot;. Postbus  738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. Hoogte <b>...</b>  "
4740,1000AZ,34261685	,342616850000	,000016550803	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Citygreen Finance B.V.,Citygreen Finance B.V.,No Value,Citygreen Finance B.V.,Prins Bernhardplein,200,,1097JB,Amsterdam,"<b>...</b> Citygreen Finance BV. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000  AZ. Prins Bernhardplein 200, 1097JB, Amsterdam, Nederland 1097 JB. <b>...</b>  "
4741,1000AS,34347114	,343471140000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Helmholzstraat 2/4 en Fraunhoferstraat 20 tot en met 30 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Helmholzstraat 2/4 en Fraunhoferstraat 20 tot en met 30 te Amsterdam,Fraunhoferstraat,24,H,1098LS,Amsterdam,"<b>...</b> Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. Fraunhoferstraat  24 H, 1098LS, Amsterdam, Nederland 1098 LS. <b>...</b>  "
4742,1001AC,34216344	,342163440000	,000019573650	,No Value,True,"www.maakum.nl,",Maakum B.V.,Maakum B.V. | Grite,Maakum B.V.,Maakum B.V.,Singel,29,,1012VC,Amsterdam,"<b>...</b> www.maakum.nl, www.grite.nl. Postbus 3342, <b>1001AC</b>, Amsterdam, Nederland  1001 AC. Singel 29, 1012VC, Amsterdam, Nederland 1012 VC. <b>...</b>  "
4743,1000AZ,34264617	,342646170000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Stichting Security Trustee STORM 2007-I,No Value,No Value,Stichting Security Trustee STORM 2007-I,Prins Bernhardplein,200,,1097JB,Amsterdam,"34264617 817532377. Financiële holdings. Stichting Security Trustee STORM  2007-I. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland 1000 AZ. <b>...</b>  "
4744,1000GP,52618110	,526181100000	,No Value	,No Value,True,No Value,"Kanaalstraat 18, 20 en 22",No Value,No Value,"Kanaalstraat 18, 20 en 22",Prinsengracht,255,-259,1016GV,Amsterdam,"Overige belangenbehartiging (rest). Kanaalstraat 18, 20 en 22. Kanaalstraat  18, 20 en 22. Postbus 19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP <b>...</b>  "
4745,1000GP,34367281	,343672810000	,No Value	,No Value,True,No Value,VvE Stolwijkstraat 58 te Amsterdam,No Value,No Value,VvE Stolwijkstraat 58 te Amsterdam,Prinsengracht,259,,1016GV,Amsterdam,"<b>...</b> Stolwijkstraat 58 te Amsterdam. VvE Stolwijkstraat 58 te Amsterdam. Postbus  19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
4746,1000AS,57087695	,570876950000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Magalhaensstraat 14-18,No Value,No Value,Vereniging van Eigenaars Magalhaensstraat 14-18,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> VvE Magalhaensstraat 14-18. Vereniging van Eigenaars &quot;Magalhaensstraat  14-18&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
4747,1000AZ,53064909	,530649090000	,No Value	,Deze rechtspersoon is uitgeschreven uit het Handelsregister,True,No Value,Eurasian Investments B.V.,No Value,No Value,Eurasian Investments B.V.,Prins Bernhardplein,200,,1097JB,Amsterdam,"53064909 850730028. Eurasian Investments BV. Postbus 990, <b>1000AZ</b>,  Amsterdam, Nederland 1000 AZ. Prins Bernhardplein <b>...</b>  "
4748,1000AS,52067440	,520674400000	,No Value	,No Value,True,www.egidiusstraat.com.,Vereniging van Eigenaars Egidiusstraat/Bos en Lommerweg/Leeuwendalersweg,No Value,No Value,Vereniging van Eigenaars Egidiusstraat/Bos en Lommerweg/Leeuwendalersweg,Egidiusstraat,50,2,1055GX,Amsterdam,"<b>...</b> www.egidiusstraat.com. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000  AS. Egidiusstraat 50 2, 1055GX, Amsterdam, Nederland 1055 GX. <b>...</b>  "
4749,1001AC,34307436	,343074360000	,000017329019	,No Value,True,No Value,Sendsteps B.V.,Sendsteps B.V. | Poll Everywhere | Wereld Stemmen | SMS2screen | SMS-scherm | stemmen via SMS | vragen stellen via SMS | Shakespeak,Sendsteps B.V.,Sendsteps B.V.,Overhoeksplein,2,202 001-012,1031KS,Amsterdam,"<b>...</b> Sendsteps BV. Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC.  Overhoeksplein 2 202 001-012, 1031KS, Amsterdam, Nederland 1031 KS. <b>...</b>  "
4750,1001AC,50323466	,503234660000	,No Value	,No Value,True,No Value,Stichting Trouble Man,No Value,No Value,Stichting Trouble Man,Overhoeksplein,2,lab 107,1031KS,Amsterdam,"Producenten van podiumkunst. Stichting Trouble Man. Stichting Trouble Man.  Postbus 3322, <b>1001AC</b>, Amsterdam, Nederland 1001 AC. <b>...</b>  "
4751,1000AZ,33259869	,332598690000	,000016705807	,Deze hoofdvestiging is uitgeschreven uit het Handelsregister,True,No Value,Cable Plus (Netherlands) B.V.,Cable Plus (Netherlands) B.V.,No Value,Cable Plus (Netherlands) B.V.,Koningslaan,34,,1075AD,Amsterdam,"<b>...</b> Cable Plus (Netherlands) BV. Postbus 990, <b>1000AZ</b>, Amsterdam, Nederland  1000 AZ. Koningslaan 34, 1075AD, Amsterdam, Nederland 1075 AD. <b>...</b>  "
4752,1000GP,34369440	,343694400000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Anthonie van Dijckstraat 5 te Amsterdam,No Value,No Value,Vereniging van Eigenaars Anthonie van Dijckstraat 5 te Amsterdam,Prinsengracht,259,,1016GV,Amsterdam,"<b>...</b> Vereniging van Eigenaars Anthonie van Dijckstraat 5 te Amsterdam. Postbus  19604, <b>1000GP</b>, Amsterdam, Nederland 1000 GP. <b>...</b>  "
4753,1000AS,57565317	,575653170000	,No Value	,No Value,True,No Value,Vereniging van Eigenaars Van Spilbergenstraat 60,No Value,No Value,Vereniging van Eigenaars Van Spilbergenstraat 60,Hoogte Kadijk,179,,1018BK,Amsterdam,"<b>...</b> VvE &quot;Van Spilbergenstraat 60&quot;. Vereniging van Eigenaars &quot;Van Spilbergenstraat  60&quot;. Postbus 738, <b>1000AS</b>, Amsterdam, Nederland 1000 AS. <b>...</b>  "
